"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","236.0","23","52.5","2022/01/22 00:00:00"
"02","443.0","24","58.5","2022/02/23 00:00:00"
"03","236.5","16","70.5","2022/03/28 00:00:00"
"04","163.5","15","54.0","2022/04/02 00:00:00"
"05","641.5","27","116.0","2022/05/31 00:00:00"
"06","341.5","20","45.5","2022/06/07 00:00:00"
"07","77.0","10","27.0","2022/07/05 00:00:00"
"08","119.5","11","51.0","2022/08/25 00:00:00"
"09","846.5","17","161.0","2022/09/02 00:00:00"
"10","751.0","22","131.5","2022/10/16 00:00:00"
"11","229.0","19","72.5","2022/11/24 00:00:00"
"12","433.0","23","66.0","2022/12/11 00:00:00"
