"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","18.0","5","13.5","2014/01/14 00:00:00"
"02","179.0","12","75.5","2014/02/09 00:00:00"
"03","104.5","15","12.0","2014/03/08 00:00:00"
"04","92.5","10","38.0","2014/04/24 00:00:00"
"05","560.0","21","136.0","2014/05/21 00:00:00"
"06","168.0","16","46.5","2014/06/05 00:00:00"
"07","131.5","8","43.5","2014/07/31 00:00:00"
"08","119.0","5","76.5","2014/08/19 00:00:00"
"09","97.0","4","50.5","2014/09/21 00:00:00"
"10","176.5","9","136.5","2014/10/10 00:00:00"
"11","58.5","7","27.5","2014/11/09 00:00:00"
"12","58.5","12","21.5","2014/12/04 00:00:00"
