"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","43.0","10","11.5","2021/01/11 00:00:00"
"02","51.5","7","26.5","2021/02/11 00:00:00"
"03","113.0","11","44.5","2021/03/06 00:00:00"
"04","69.5","5","32.5","2021/04/28 00:00:00"
"05","102.0","5","74.0","2021/05/31 00:00:00"
"06","140.5","8","38.0","2021/06/22 00:00:00"
"07","159.5","6","44.0","2021/07/22 00:00:00"
"08","246.0","8","138.5","2021/08/07 00:00:00"
"09","11.5","2","10.0","2021/09/12 00:00:00"
"10","116.0","11","41.5","2021/10/11 00:00:00"
"11","53.5","8","27.5","2021/11/18 00:00:00"
"12","69.5","10","44.5","2021/12/21 00:00:00"
