"觀測時間(month)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)"
"ObsTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime"
"01","155.5","16","49.5","2016/01/17 00:00:00"
"02","9.0","10","2.0","2016/02/01 00:00:00"
"03","334.5","18","53.5","2016/03/18 00:00:00"
"04","86.0","12","27.0","2016/04/27 00:00:00"
"05","167.5","19","47.5","2016/05/11 00:00:00"
"06","513.5","24","89.0","2016/06/05 00:00:00"
"07","245.5","19","42.5","2016/07/19 00:00:00"
"08","161.5","16","53.5","2016/08/11 00:00:00"
"09","1081.5","18","494.5","2016/09/27 00:00:00"
"10","82.0","10","27.0","2016/10/08 00:00:00"
"11","109.5","11","35.0","2016/11/23 00:00:00"
"12","19.0","5","9.0","2016/12/22 00:00:00"
