Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
1,95.5,17,39.0,2020/01/26 00:00:00,2020,Xindian,C1A9N0
2,82.0,15,20.0,2020/02/04 00:00:00,2020,Xindian,C1A9N0
3,230.0,20,62.0,2020/03/10 00:00:00,2020,Xindian,C1A9N0
4,156.5,19,33.0,2020/04/23 00:00:00,2020,Xindian,C1A9N0
5,492.0,23,150.5,2020/05/28 00:00:00,2020,Xindian,C1A9N0
6,134.0,15,35.0,2020/06/14 00:00:00,2020,Xindian,C1A9N0
7,371.5,17,76.5,2020/07/01 00:00:00,2020,Xindian,C1A9N0
8,222.5,17,66.5,2020/08/27 00:00:00,2020,Xindian,C1A9N0
9,172.0,16,31.0,2020/09/09 00:00:00,2020,Xindian,C1A9N0
10,266.5,19,30.5,2020/10/22 00:00:00,2020,Xindian,C1A9N0
11,197.0,23,42.0,2020/11/13 00:00:00,2020,Xindian,C1A9N0
12,409.5,28,40.5,2020/12/03 00:00:00,2020,Xindian,C1A9N0
1,190.5,18,36.5,2021/01/07 00:00:00,2021,Xindian,C1A9N0
2,110.5,11,26.5,2021/02/13 00:00:00,2021,Xindian,C1A9N0
3,132.5,16,28.0,2021/03/06 00:00:00,2021,Xindian,C1A9N0
4,85.5,14,30.5,2021/04/29 00:00:00,2021,Xindian,C1A9N0
5,314.0,14,140.5,2021/05/24 00:00:00,2021,Xindian,C1A9N0
6,379.0,15,110.0,2021/06/04 00:00:00,2021,Xindian,C1A9N0
7,485.0,12,159.5,2021/07/24 00:00:00,2021,Xindian,C1A9N0
8,399.0,20,125.0,2021/08/07 00:00:00,2021,Xindian,C1A9N0
9,263.5,10,176.5,2021/09/12 00:00:00,2021,Xindian,C1A9N0
10,643.0,21,203.5,2021/10/11 00:00:00,2021,Xindian,C1A9N0
11,185.0,20,28.0,2021/11/26 00:00:00,2021,Xindian,C1A9N0
12,174.0,20,32.5,2021/12/25 00:00:00,2021,Xindian,C1A9N0
1,117.5,20,12.0,2023/01/02 00:00:00,2023,Xindian,C1A9N0
2,104.5,18,17.0,2023/02/14 00:00:00,2023,Xindian,C1A9N0
3,64.0,10,17.0,2023/03/25 00:00:00,2023,Xindian,C1A9N0
4,155.0,13,41.5,2023/04/20 00:00:00,2023,Xindian,C1A9N0
